Qx, Qy, Qz, Qw, x, y, z, q7
-0.752883,-0.641359,-0.146216,0.0211566,0.34986,-0.0147599,0.319646,-0.308281
-0.753131,-0.641067,-0.146188,0.0213571,0.349998,-0.0148368,0.319654,-0.307978
-0.753736,-0.640274,-0.146443,0.0220513,0.350147,-0.0148114,0.319704,-0.306419
-0.753998,-0.639915,-0.146651,0.0221302,0.350372,-0.0148203,0.319715,-0.305867
-0.754171,-0.639687,-0.146766,0.022068,0.350553,-0.0147839,0.319694,-0.305304
-0.754549,-0.639172,-0.147041,0.0222083,0.350658,-0.0147063,0.319709,-0.303951
-0.75437,-0.639374,-0.147183,0.0215449,0.35082,-0.0147819,0.319657,-0.304393
-0.754591,-0.639128,-0.147151,0.0213418,0.350832,-0.0147472,0.319588,-0.303331
-0.754752,-0.638868,-0.147425,0.0215022,0.350803,-0.0146174,0.319569,-0.302407
-0.754887,-0.638674,-0.147619,0.0212317,0.350868,-0.0146303,0.31945,-0.301831
-0.755217,-0.638197,-0.147891,0.0219092,0.350819,-0.014526,0.31936,-0.300591
-0.755439,-0.637851,-0.148125,0.0227287,0.350807,-0.0145118,0.319379,-0.299787
-0.755683,-0.637401,-0.148724,0.0233346,0.350891,-0.0145612,0.319432,-0.299254
-0.755762,-0.637217,-0.149104,0.0233748,0.350969,-0.0146557,0.319338,-0.299449
-0.756392,-0.636328,-0.149541,0.0244089,0.350966,-0.0144842,0.319366,-0.297501
-0.756708,-0.63588,-0.14981,0.0246385,0.351104,-0.0144216,0.319463,-0.296686
-0.757156,-0.635263,-0.150145,0.0247338,0.351237,-0.0143325,0.319662,-0.295321
-0.757552,-0.634699,-0.150525,0.0247899,0.351411,-0.014181,0.319817,-0.294057
-0.757503,-0.63475,-0.150633,0.0243214,0.351658,-0.0141084,0.319815,-0.294206
-0.757753,-0.634423,-0.150709,0.024605,0.351705,-0.0140544,0.319915,-0.293599
-0.757874,-0.634179,-0.151065,0.0249606,0.351706,-0.0139994,0.319978,-0.293491
-0.757928,-0.634089,-0.151121,0.0252764,0.3516,-0.013893,0.319925,-0.293344
-0.758583,-0.633154,-0.1514,0.0273225,0.351275,-0.0135129,0.320022,-0.290759
-0.758623,-0.633023,-0.151552,0.0283769,0.351078,-0.0134524,0.320088,-0.290632
-0.758639,-0.632871,-0.152,0.0289267,0.351149,-0.0136236,0.32009,-0.291111
-0.758529,-0.632947,-0.152219,0.0290177,0.351337,-0.0138522,0.320019,-0.29207
-0.758484,-0.63304,-0.152058,0.028995,0.351538,-0.0139332,0.319917,-0.292136
-0.758488,-0.633163,-0.151575,0.0287244,0.351826,-0.0138822,0.319835,-0.29133
-0.758288,-0.633588,-0.150912,0.0281237,0.352049,-0.0139044,0.319823,-0.290929
-0.758145,-0.63401,-0.149964,0.0275362,0.35223,-0.0139761,0.319724,-0.290372
-0.758215,-0.634085,-0.149304,0.0274579,0.35239,-0.0140153,0.31967,-0.289139
